"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 19, 2020","7.64","7.65","7.69","7.61","4.71M","0.13%"
"Aug 18, 2020","7.63","7.81","7.84","7.59","5.32M","-2.30%"
"Aug 17, 2020","7.81","7.80","7.87","7.80","3.56M","0.13%"
"Aug 14, 2020","7.80","7.81","7.85","7.77","5.37M","0.00%"
"Aug 13, 2020","7.80","7.74","7.83","7.73","4.03M","1.96%"
"Aug 12, 2020","7.65","7.49","7.70","7.49","2.80M","2.14%"
"Aug 11, 2020","7.49","7.50","7.60","7.49","3.94M","-0.40%"
"Aug 10, 2020","7.52","7.51","7.58","7.50","3.43M","-1.05%"
"Aug 08, 2020","7.60","7.56","7.60","7.55","2.40M","1.33%"
"Aug 07, 2020","7.50","7.52","7.60","7.50","2.38M","-0.27%"
"Aug 06, 2020","7.52","7.52","7.55","7.50","3.43M","0.67%"
"Aug 05, 2020","7.47","7.51","7.52","7.47","6.28M","-0.40%"
"Aug 04, 2020","7.50","7.52","7.61","7.50","5.74M","0.00%"
"Aug 03, 2020","7.50","7.50","7.66","7.50","7.29M","-2.22%"
"Jul 30, 2020","7.67","7.75","7.78","7.58","9.11M","-1.03%"
"Jul 29, 2020","7.75","7.83","7.87","7.71","5.62M","-1.02%"
"Jul 28, 2020","7.83","7.82","7.85","7.81","5.55M","0.13%"
"Jul 27, 2020","7.82","7.85","7.89","7.81","2.03M","-0.38%"
"Jul 24, 2020","7.85","7.88","7.88","7.83","5.22M","-0.38%"
"Jul 23, 2020","7.88","7.87","7.89","7.83","4.59M","0.38%"
"Jul 22, 2020","7.85","7.85","7.89","7.83","4.65M","-0.13%"
"Jul 21, 2020","7.86","7.82","7.90","7.82","4.50M","0.51%"
"Jul 20, 2020","7.82","7.94","7.94","7.80","5.52M","-1.51%"
