"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 21, 2020","3.57","3.68","3.70","3.54","55.35M","-6.05%"
"Aug 19, 2020","3.80","3.89","3.90","3.78","5.62M","-2.31%"
"Aug 18, 2020","3.89","3.95","3.95","3.86","4.04M","-0.77%"
"Aug 17, 2020","3.92","3.96","3.96","3.89","2.77M","-0.76%"
"Aug 14, 2020","3.95","4.02","4.03","3.91","5.47M","-1.74%"
"Aug 13, 2020","4.02","4.01","4.09","3.96","10.35M","1.26%"
"Aug 12, 2020","3.97","3.75","4.03","3.74","22.62M","6.72%"
"Aug 11, 2020","3.72","3.72","3.77","3.71","6.57M","0.54%"
"Aug 10, 2020","3.70","3.75","3.79","3.70","6.15M","-0.80%"
"Aug 08, 2020","3.73","3.68","3.73","3.68","4.59M","-0.53%"
"Aug 07, 2020","3.75","3.72","3.88","3.71","3.96M","1.35%"
"Aug 06, 2020","3.70","3.70","3.72","3.68","4.76M","0.00%"
"Aug 05, 2020","3.70","3.73","3.74","3.68","6.03M","-0.80%"
"Aug 04, 2020","3.73","3.67","3.80","3.67","7.55M","1.91%"
"Aug 03, 2020","3.66","3.83","3.84","3.65","13.12M","-4.44%"
"Jul 30, 2020","3.83","3.85","3.88","3.83","4.69M","-0.52%"
"Jul 29, 2020","3.85","3.85","3.88","3.83","4.93M","-0.26%"
"Jul 28, 2020","3.86","3.87","3.89","3.82","8.77M","-0.26%"
"Jul 27, 2020","3.87","3.91","3.91","3.87","6.33M","-2.27%"
"Jul 24, 2020","3.96","3.95","3.96","3.89","6.31M","0.51%"
"Jul 23, 2020","3.94","3.88","3.98","3.88","3.69M","1.81%"
"Jul 22, 2020","3.87","3.95","3.95","3.87","11.15M","-2.03%"
"Jul 21, 2020","3.95","4.00","4.00","3.94","11.06M","-1.25%"
